"name","brand","ean","price","grammage","category","sale","image"
"Vivess E-Block 9V 6LR61 2 Stück","Vivess","4337256719117","2.49","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7578340/43852619_digital-image.png"
"Vivess Malblock A4","Vivess","4015291008143","2.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2868125/35965957_digital-image.png"
"Dr. Beckmann Kühlschrank Frische 40g","Dr. Beckmann","4008455105314","2.99","40g (1 kg = 74,75 €)","Haus & Freizeit","False","https://img.rewe-static.de/9576404/50394926_digital-image.png"
"Glade Duftspray Eucalyptus & Lavender 300ml","Glade","5000204405675","2.99","300ml","Haus & Freizeit","False","https://img.rewe-static.de/9817560/50953693_digital-image.png"
"Vivess Heft 25 Liniert mit Rand A4 16 Blatt","Vivess","4015291007221","0.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2854684/31100062_digital-image.png"
"Vivess Ballons 20 Stück","Vivess","4250554616998","2.79","20 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7918085/32691354_digital-image.png"
"Air Wick Automatisches Duftspray Freshmatic Max Starter Set Sommervergnügen 250ml","Air Wick","4251758415455","5.99","250ml (1 l = 23,96 €)","Haus & Freizeit","False","https://img.rewe-static.de/8874199/39730637_digital-image.png"
"Vivess Filzgleiter 16 Stück","Vivess","4388860587296","1.49","16 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8099803/31064031_digital-image.png"
"Tesa Powerstrips Large 10 Stück","Tesa","4042448103932","4.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9151001/23999795_digital-image.png"
"Vivess Bio Baumwoll-Socken Gr. 39-42 2 Paar","Vivess","4337256617406","4.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7695153/41705538_digital-image.png"
"Fairtrade Rainbow 1 Bund","NA","4035684324155","3.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8850467/37565807_digital-image.png"
"Bic Ministabfeuerzeug EZ Reach 1 Stück","Bic","3086123770706","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9893606/49735687_digital-image.png"
"Frosch Oase Raumerfrischer Creme Spa 90ml","Frosch","4001499969775","4.99","90ml (1 l = 55,44 €)","Haus & Freizeit","False","https://img.rewe-static.de/9579705/51104104_digital-image.png"
"Post-It Super Sticky Notes 76x76mm gelb 90 Blatt","Post-it","51141977928","2.99","90 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2720339/25334226_digital-image.png"
"Vivess Baby C LR14 1,5V 2 Stück","Vivess","4337256723497","2.29","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9007232/43852661_digital-image.png"
"Vivess Trennstreifen 100 Stück","Vivess","4022755180208","2.99","100 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2932866/26161979_digital-image.png"
"Glade Duftkerze Romantic Vanilla Blossom 1 Stück","NA","5000204349818","6.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7573358/46626183_digital-image.png"
"UHU Extra Alleskleber 31g","Uhu","4026700460155","2.99","31g (1 kg = 96,45 €)","Haus & Freizeit","False","https://img.rewe-static.de/5357926/23984071_digital-image.png"
"REWE Beste Wahl Blumenerde 20l","REWE Beste Wahl","4337256539289","3.59","20l (1 l = 0,18 €)","Haus & Freizeit","False","https://img.rewe-static.de/8859763/37721004_digital-image.png"
"Varta Batterien V13GA/LR44 2 Stück","Varta","4008496746347","4.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/1469475/43331207_digital-image.png"
"Febreze Car Auto Lufterfrischer Lenor Aprilfrisch 2ml","Febreze","8700216833868","3.99","2ml","Haus & Freizeit","False","https://img.rewe-static.de/9877501/48384283_digital-image.png"
"Tesa Tesafilm mit Miniabroller","Tesa","4042448855916","3.99","20m (1 m  = 0,20 €)","Haus & Freizeit","False","https://img.rewe-static.de/0179344/21618725_digital-image.png"
"Vivess Grablicht mit Deckel weiß","Vivess","4337256759229","0.89","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7619737/42302102_digital-image.png"
"Vivess Girlande Happy Birthday 1,4m","Vivess","4388860626759","2.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8085334/30333331_digital-image.png"
